,Name,size,MRP,price,url
69,SBL Bryonia Alba Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-bryonia-alba-dilution-30-ch-otc346050
70,SBL FP-Tabs Tablet,bottle of 25 gm Tablet,₹155,₹133,/otc/sbl-fp-tabs-tablet-otc329015
71,SBL Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹199,/otc/sbl-berberis-aquifolium-mother-tincture-q-otc338512
72,Bakson's Pilgo Tablet,bottle of 75 tablets,₹215,₹178,/otc/bakson-s-pilgo-tablet-otc327078
73,SBL Belladonna Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-belladonna-dilution-30-ch-otc338213
74,SBL Homeocal Tablet,bottle of 25 gm Tablet,₹155,₹131,/otc/sbl-homeocal-tablet-otc326109
75,SBL Bio-Combination 25 Tablet,bottle of 25 gm Biocombination Tablet,₹95,₹81,/otc/sbl-bio-combination-25-tablet-otc331077
76,SBL Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹280,₹230,/otc/sbl-sabal-serrulata-mother-tincture-q-otc338421
77,SBL Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹196,/otc/sbl-arnica-montana-mother-tincture-q-otc338517
78,Bakson's Vitamin D Plus Tablet,bottle of 30 tablets,₹160,₹141,/otc/bakson-s-vitamin-d-plus-tablet-otc513616
79,Dr. Reckeweg Aalserum 7X Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹225,/otc/dr.-reckeweg-aalserum-7x-mother-tincture-q-otc327821
80,SBL Cineraria Maritima Euphrasia Eye Drop,bottle of 10 ml Eye Drop,₹120,₹99,/otc/sbl-cineraria-maritima-euphrasia-eye-drop-otc329019
81,SBL Magnesia Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹105,₹88,/otc/sbl-magnesia-phosphorica-biochemic-tablet-6x-otc331031
82,SBL Lycopodium Clavatum Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹75,/otc/sbl-lycopodium-clavatum-dilution-30-ch-otc338200
83,SBL Calendula Cream,tube of 25 gm Cream,₹65,₹55,/otc/sbl-calendula-cream-otc330989
84,Dr Willmar Schwabe Germany Biofungin Syrup,bottle of 250 ml Syrup,₹847,₹720,/otc/dr-willmar-schwabe-germany-biofungin-syrup-otc326130
85,Dr. Reckeweg R85 High Blood Pressure Drop,bottle of 30 ml Drop,₹310,₹273,/otc/dr.-reckeweg-r85-high-blood-pressure-drop-otc326018
86,SBL Crataegus Oxyacantha Q Mother Tincture,bottle of 30 ml Mother Tincture,₹105,₹84,/otc/sbl-crataegus-oxyacantha-q-mother-tincture-otc338491
