,Name,benefit_area
196,SBL Withania Somnifera Mother Tincture Q,{'blood'}
197,SBL Hypericum Perforatum Dilution 200 CH,set()
198,SBL Pothos Foetidus Mother Tincture Q,{'skin'}
199,SBL Alfalfa Tonic Paediatric,set()
200,SBL Stobal Cough Syrup,set()
201,SBL Drops No. 3 (For UTI),"{'ear', 'blood', 'kidney'}"
202,SBL Causticum Dilution 200 CH,"{'eye', 'kidney', 'nose', 'skin', 'liver', 'eyes'}"
203,SBL Cantharis Mother Tincture Q,"{'skin', 'kidney'}"
204,Allen A87 Creatinine & Blood Urea Drop,{'kidney'}
205,SBL Aesculus Ointment,{'blood'}
206,Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,"{'eye', 'eyes'}"
207,SBL Ruta Graveolens Dilution 200 CH,"{'bone', 'eye', 'eyes'}"
208,SBL Justicia Adhatoda Mother Tincture Q,set()
209,SBL Apis Mellifica Dilution 30 CH,"{'face', 'eye'}"
210,SBL Ferrumsip Syrup,set()
211,SBL Natrum Muriaticum Biochemic Tablet 6X,"{'skin', 'ear', 'blood'}"
212,Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,"{'eye', 'nose', 'skin', 'eyes', 'ear'}"
213,ADEL 2 Apo-Ham Drop,set()
214,SBL Silicea Dilution 200 CH,"{'skin', 'bone'}"
215,SBL Agnus Castus Dilution 30 CH,set()
216,SBL Pulsatilla Nigricans Dilution 30 CH,{'ear'}
217,SBL Hepar Sulphur Dilution 30 CH,"{'skin', 'ear', 'hand'}"
218,SBL Natrum Phosphoricum Biochemic Tablet 6X,"{'ear', 'eye'}"
219,Bhargava Tumorin Drop,{'thyroid'}
220,SBL Wiesbaden Dilution 30 CH,{'hair'}
221,SBL AF-Tabs Tablet,set()
222,SBL Drops No. 1 (For Hair Care),{'hair'}
223,Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,"{'skin', 'legs', 'kidney'}"
224,Bakson's Wart Aid Tablet,"{'eye', 'face', 'nose'}"
225,Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,"{'eye', 'eyes'}"
226,SBL AT-Tabs Ant- Traumatic Tablet,set()
227,Dr Willmar Schwabe India Aesculus Pentarkan Drop,set()
228,ADEL 11 Defaeton Drop,set()
229,SBL Ocimum Sanctum Mother Tincture Q,{'skin'}
230,Dr Willmar Schwabe India Ginseng Mother Tincture Q,set()
231,Bjain Syzygium Jambolanum Mother Tincture Q,"{'skin', 'blood', 'stomach'}"
232,Dr. Reckeweg Chelidonium Maj Mother Tincture Q,"{'liver', 'eye', 'eyes', 'stomach'}"
233,Bakson's Hair Color Dark Brown Sachet,"{'hair', 'skin'}"
234,ADEL 36 Pollon Drop,{'blood'}
235,Bakson B22 Sinus Drop,{'face'}
236,Dr Willmar Schwabe India Alpha - MP Drop,set()
237,SBL Silicea Biochemic Tablet 6X,"{'skin', 'bone'}"
238,Boericke and Tafel Anti-Dandruff Shampoo,"{'hair', 'eye', 'eyes'}"
239,Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,set()
240,Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,"{'skin', 'ear', 'blood'}"
241,SBL Thuja Occidentalis Dilution 30 CH,"{'skin', 'face'}"
242,SBL Fraxinus Americana Mother Tincture Q,set()
243,Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,{'blood'}
244,ADEL 6 Apo-Strum Drop,"{'thyroid', 'kidney', 'liver', 'ear', 'blood'}"
245,SBL Silk N Stay Antiseptic Calendula Soap,"{'skin', 'ear', 'face'}"
246,SBL Blatta Orientalis Mother Tincture Q,set()
247,ADEL 66 Toxex Drop,"{'liver', 'nose'}"
248,Bhargava Garcinia Cambogia Drop,set()
249,ADEL 21 Proscenat Drop,{'hair'}
250,Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,"{'liver', 'blood'}"
251,German's No Piles Care and Cure Drop,set()
252,Boericke and Tafel Glow & Fairness Soap,set()
253,SBL Drops No. 6 (For Joint Pain),set()
254,Bakson's Rheum Aid Tablet,set()
255,ADEL 25 Somcupin Drop,set()
256,SBL Cineraria Maritima Eye Drops Free From Alcohol,"{'eyes', 'eye', 'blood'}"
257,Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,"{'skin', 'blood', 'stomach'}"
258,SBL Nuphar Lutea Mother Tincture Q,"{'skin', 'ear', 'stomach'}"
259,ADEL 5 Apo-Stom Drop,"{'ear', 'liver', 'stomach'}"
260,SBL Hydrangea Arborescens Mother Tincture Q,set()
261,SBL Calcarea Phosphorica Biochemic Tablet 12X,{'bone'}
262,Allen A82 Premature Greying Of Hair Drop,{'hair'}
263,Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,set()
264,SBL Allium Sativum Mother Tincture Q,{'ear'}
265,SBL Chionanthus Virginica Mother Tincture Q,"{'eye', 'liver', 'nose'}"
266,Bakson's Mig Aid Tablet,{'eye'}
267,ADEL 44 Venorbis Drop,"{'ear', 'blood'}"
268,Bakson's Calci Aid Tablet,{'bone'}
