,Name,Rating,Num_rating
198,SBL Pothos Foetidus Mother Tincture Q,4.5,45 ratings
199,SBL Alfalfa Tonic Paediatric,4.6,96 ratings
200,SBL Stobal Cough Syrup,4.6,518 ratings
201,SBL Drops No. 3 (For UTI),4.7,93 ratings
202,SBL Causticum Dilution 200 CH,4.5,184 ratings
203,SBL Cantharis Mother Tincture Q,4.6,63 ratings
204,Allen A87 Creatinine & Blood Urea Drop,4.6,63 ratings
205,SBL Aesculus Ointment,4.5,70 ratings
206,Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,4.5,123 ratings
207,SBL Ruta Graveolens Dilution 200 CH,4.7,222 ratings
208,SBL Justicia Adhatoda Mother Tincture Q,4.7,78 ratings
209,SBL Apis Mellifica Dilution 30 CH,4.6,132 ratings
210,SBL Ferrumsip Syrup,4.5,92 ratings
211,SBL Natrum Muriaticum Biochemic Tablet 6X,4.5,103 ratings
212,Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,4.7,58 ratings
213,ADEL 2 Apo-Ham Drop,4.6,56 ratings
214,SBL Silicea Dilution 200 CH,4.6,208 ratings
215,SBL Agnus Castus Dilution 30 CH,4.3,116 ratings
216,SBL Pulsatilla Nigricans Dilution 30 CH,4.6,227 ratings
217,SBL Hepar Sulphur Dilution 30 CH,4.5,186 ratings
218,SBL Natrum Phosphoricum Biochemic Tablet 6X,4.6,106 ratings
219,Bhargava Tumorin Drop,4.4,51 ratings
220,SBL Wiesbaden Dilution 30 CH,4.3,114 ratings
221,SBL AF-Tabs Tablet,4.7,98 ratings
222,SBL Drops No. 1 (For Hair Care),4.2,74 ratings
223,Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,4.4,112 ratings
224,Bakson's Wart Aid Tablet,4,20 ratings
225,Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,4.5,198 ratings
226,SBL AT-Tabs Ant- Traumatic Tablet,4.6,86 ratings
227,Dr Willmar Schwabe India Aesculus Pentarkan Drop,4.3,64 ratings
228,ADEL 11 Defaeton Drop,4.3,62 ratings
229,SBL Ocimum Sanctum Mother Tincture Q,4.4,57 ratings
230,Dr Willmar Schwabe India Ginseng Mother Tincture Q,4.6,75 ratings
231,Bjain Syzygium Jambolanum Mother Tincture Q,4.7,121 ratings
232,Dr. Reckeweg Chelidonium Maj Mother Tincture Q,4.8,70 ratings
233,Bakson's Hair Color Dark Brown Sachet,4.2,99 ratings
234,ADEL 36 Pollon Drop,4.2,83 ratings
235,Bakson B22 Sinus Drop,4.4,67 ratings
236,Dr Willmar Schwabe India Alpha - MP Drop,4.5,99 ratings
237,SBL Silicea Biochemic Tablet 6X,4.5,140 ratings
238,Boericke and Tafel Anti-Dandruff Shampoo,4.2,89 ratings
239,Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,4.2,66 ratings
240,Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,4.4,118 ratings
241,SBL Thuja Occidentalis Dilution 30 CH,4.4,436 ratings
242,SBL Fraxinus Americana Mother Tincture Q,4.4,31 ratings
243,Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,4.5,87 ratings
244,ADEL 6 Apo-Strum Drop,4.5,54 ratings
245,SBL Silk N Stay Antiseptic Calendula Soap,4.4,102 ratings
246,SBL Blatta Orientalis Mother Tincture Q,4.6,58 ratings
247,ADEL 66 Toxex Drop,4.5,76 ratings
248,Bhargava Garcinia Cambogia Drop,4.2,44 ratings
249,ADEL 21 Proscenat Drop,4.5,47 ratings
